Location,Individuals,People in Families with Children,Total People Experiencing Homelessness,year
Iowa,1711,1038,2749,2018
Kansas,1443,773,2216,2018
Kentucky,2735,953,3688,2018
Louisiana,2540,519,3059,2018
Maine,1450,1066,2516,2018
Maryland,4914,2230,7144,2018
Massachusetts,6811,13257,20068,2018
Michigan,5209,3142,8351,2018
Minnesota,3993,3250,7243,2018
Mississippi,1024,328,1352,2018
Missouri,3776,2107,5883,2018
Montana,983,422,1405,2018
Nebraska,1745,676,2421,2018
Nevada,7058,486,7544,2018
New Hampshire,835,615,1450,2018
New Jersey,6048,3350,9398,2018
New Mexico,1949,602,2551,2018
New York,39827,52070,91897,2018
North Carolina,6451,2817,9268,2018
North Dakota,467,75,542,2018
Ohio,6929,3320,10249,2018
Oklahoma,2823,1048,3871,2018
Oregon,11139,3337,14476,2018
Pennsylvania,8163,5349,13512,2018
Rhode Island,747,354,1101,2018
South Carolina,3082,851,3933,2018
South Dakota,836,323,1159,2018
Tennessee,6139,1744,7883,2018
Texas,19199,6111,25310,2018
Utah,1904,972,2876,2018
Vermont,780,511,1291,2018
Virginia,3928,2047,5975,2018
Washington,16424,5880,22304,2018
West Virginia,1021,222,1243,2018
Wisconsin,2740,2167,4907,2018
Wyoming,434,205,639,2018
Guam,209,645,854,2018
Northern Mariana Islands,357,687,1044,2018
Puerto Rico,2921,261,3182,2018
Virgin Islands,415,71,486,2018
United States,396045,171670,567715,2019
Alabama,2519,742,3261,2019
Alaska,1384,523,1907,2019
Arizona,7538,2469,10007,2019
Arkansas,2303,414,2717,2019
California,128777,22501,151278,2019
Colorado,7263,2356,9619,2019
Connecticut,2100,933,3033,2019
Delaware,565,356,921,2019
District of Columbia,3875,2646,6521,2019
Florida,21265,7063,28328,2019
Georgia,7913,2530,10443,2019
Hawaii,4420,1992,6412,2019
Idaho,1516,799,2315,2019
Illinois,6513,3686,10199,2019
Indiana,3783,1688,5471,2019
Iowa,1574,741,2315,2019
Kansas,1742,639,2381,2019
Kentucky,3073,1006,4079,2019
Louisiana,2416,525,2941,2019
Maine,1232,874,2106,2019
Maryland,4652,1909,6561,2019
Massachusetts,6259,12212,18471,2019
Michigan,5212,3363,8575,2019
Minnesota,4586,3391,7977,2019
Mississippi,963,221,1184,2019
Missouri,4173,2006,6179,2019
Montana,947,410,1357,2019
Nebraska,1715,650,2365,2019
Nevada,6614,555,7169,2019
New Hampshire,812,584,1396,2019
New Jersey,5895,2967,8862,2019
New Mexico,2464,777,3241,2019
New York,42113,49978,92091,2019
North Carolina,6867,2447,9314,2019
North Dakota,377,180,557,2019
Ohio,7041,3304,10345,2019
Oklahoma,3063,881,3944,2019
Oregon,12354,3522,15876,2019
Pennsylvania,8426,4773,13199,2019
Rhode Island,730,325,1055,2019
South Carolina,3318,854,4172,2019
South Dakota,725,270,995,2019
Tennessee,5637,1830,7467,2019
Texas,19611,6237,25848,2019
Utah,1921,877,2798,2019
Vermont,681,408,1089,2019
Virginia,3666,2117,5783,2019
Washington,15985,5592,21577,2019
West Virginia,1149,248,1397,2019
Wisconsin,2545,1993,4538,2019
Wyoming,437,111,548,2019
Guam,258,617,875,2019
Northern Mariana Islands,423,1384,1807,2019
Puerto Rico,2341,194,2535,2019
Virgin Islands,314,0,314,2019
United States,408891,171575,580466,2020
Alabama,2497,854,3351,2020
Alaska,1445,504,1949,2020
Arizona,8280,2699,10979,2020
Arkansas,2073,293,2366,2020
California,135771,25777,161548,2020
Colorado,7579,2267,9846,2020
Connecticut,1973,932,2905,2020
Delaware,737,428,1165,2020
District of Columbia,3949,2431,6380,2020
Florida,20344,7143,27487,2020
Georgia,7696,2538,10234,2020
Hawaii,4568,1890,6458,2020
Idaho,1320,995,2315,2020
Illinois,6995,3436,10431,2020
Indiana,4117,1508,5625,2020
Iowa,1852,795,2647,2020
Kansas,1751,698,2449,2020
Kentucky,3116,895,4011,2020
Louisiana,2591,582,3173,2020
Maine,1289,808,2097,2020
Maryland,4430,1930,6360,2020
Massachusetts,6233,11742,17975,2020
Michigan,5267,3371,8638,2020
Minnesota,4726,3214,7940,2020
Mississippi,853,254,1107,2020
Missouri,4416,2111,6527,2020
Montana,996,549,1545,2020
Nebraska,1722,682,2404,2020
Nevada,6381,519,6900,2020
New Hampshire,1023,652,1675,2020
New Jersey,6413,3249,9662,2020
New Mexico,2555,778,3333,2020
New York,43283,47988,91271,2020
North Carolina,6756,2524,9280,2020
North Dakota,371,170,541,2020
Ohio,7636,3019,10655,2020
Oklahoma,3162,770,3932,2020
Oregon,11995,2660,14655,2020
Pennsylvania,8585,4790,13375,2020
Rhode Island,723,381,1104,2020
